rental_id,temperature_c,humidity_pct,wind_speed_mps,distance_km,ride_duration_min,bike_age_months,late_return,temperature_c_outlier,bad_weather,avg_speed_kmh,station_zone_공원,station_zone_대학가,station_zone_도심,station_zone_주거,member_type_연회원,member_type_월회원,member_type_일일권,weather_맑음,weather_비,weather_흐림
R0001,1.3342981713826785,1.0120439082515338,1.7086567397594241,0.14348752685302904,-0.17287356215828673,0.522602249999374,0,0,1,0.4650659130558235,True,False,False,False,False,False,True,False,True,False
R0002,0.07127354539901748,0.8448751204226579,0.9890341248846158,-1.1843987081697356,-1.0509933926056103,0.9852855727923309,0,0,0,-0.9832766260312675,False,False,True,False,False,True,False,False,False,True
R0003,-0.05194836933109591,-0.42978688677251764,-1.6016072886646944,-1.1170421600164069,-0.9816681428334532,0.8002122436751481,0,0,0,-0.8989328492439778,True,False,False,False,False,False,True,True,False,False
R0004,0.887618730486018,1.032940006730143,-0.8819846737898859,1.404017213722465,0.8554509761287102,-0.12515440191076557,0,0,0,0.8153486369866776,True,False,False,False,True,False,False,False,False,True
R0005,-1.5152086067511912,-1.1263235027261655,-1.7455318116396559,-0.34725303826407977,-0.2999698534072416,1.8181155538196532,0,0,0,-0.1894613885954155,True,False,False,False,False,True,False,True,False,False
R0006,0.9184242091685463,1.9175415089912762,2.2843548316592717,0.4850814496306242,1.3522819328291695,-0.21769106646935696,1,0,1,-0.558018893185073,False,False,False,True,False,True,False,False,True,False
R0007,0.5179529862956779,0.029927279756890076,0.7011850789346928,-0.5397003187021615,-0.5541624359051509,0.4300655854407826,0,0,0,-0.20058389714815805,False,False,True,False,False,True,False,True,False,False
R0008,-1.407389431362342,1.645892228769353,1.4208076938095013,-0.12112748374933358,-0.39240351977011784,0.2449922563235999,1,0,1,0.35015898017999786,False,True,False,False,False,False,True,False,True,False
R0009,-1.4535976493861344,1.4369312439832587,0.6292228174472115,-0.1307498477712377,0.6705836434029577,0.2449922563235999,0,0,1,-0.7775807701227713,False,False,False,True,True,False,False,False,True,False
R0010,0.00966258803396051,0.057788744395035896,-1.24179598122729,-0.41460958641740825,-0.796800810107701,-0.032617737352174214,0,0,0,0.5021751870672588,False,True,False,False,True,False,False,False,False,True
R0011,-1.607625042798776,-1.3770766844694784,1.4927699552969818,-0.6792245970197709,-0.17287356215828673,-0.7729110538209052,0,0,0,-0.8903232988958277,False,False,False,True,False,True,False,True,False,False
R0012,0.3023146355179799,2.0011259029057142,-0.9539469352773667,-1.0496856118630784,-1.1896438921499244,-0.21769106646935696,0,0,0,-0.34050017782843817,False,False,False,True,False,True,False,False,False,True
R0013,1.395909128747735,-1.1054274042475558,0.05352472554736497,-0.6503575049540586,-0.958559726242734,0.4300655854407826,0,0,0,0.28088129519620214,False,True,False,False,True,False,False,True,False,False
R0014,0.7797995550971685,-0.3810293236557621,-0.8819846737898859,-0.2221623059793265,0.20841531158857704,1.077822237350922,0,0,0,-0.5374421854741448,True,False,False,False,False,False,True,False,False,True
R0015,0.5795639436607348,-0.8407434901851698,-0.6660978893274434,-0.46753258853788093,-0.17287356215828673,0.8002122436751481,0,0,0,-0.5415681800310755,True,False,False,False,True,False,False,True,False,False
R0016,-0.5140305495690207,0.46874534780768856,0.05352472554736497,0.5139485416963363,0.16219847840713914,-0.5878377247037224,0,0,0,0.5536556118541318,False,False,False,True,False,False,True,True,False,False
R0017,-0.03654562998983153,-1.864652315637032,-0.8819846737898859,0.11462043478731652,-0.21909039533972505,-0.3102277310279483,0,0,0,0.48806075605789445,False,False,False,True,False,False,True,True,False,False
R0018,-1.1763483412433797,-0.42282152061298106,-0.6660978893274434,-0.9678955176768936,-0.9470055179473745,-0.032617737352174214,0,0,0,-0.5626160443475883,False,False,False,True,True,False,False,True,False,False
R0019,1.0262433845573953,-1.1959771643215305,-0.5941356278399625,2.4985611212140544,-1.0509933926056103,0.522602249999374,1,0,0,9.276392813910883,False,False,False,True,False,False,True,True,False,False
R0020,-0.3600031561563791,1.9314722413103493,2.1404303086843095,0.28782298718159033,0.9363304341962267,0.05991892720641715,1,0,1,-0.48709627316776977,True,False,False,False,False,True,False,False,True,False
R0021,-0.9453072511244173,-0.1163454095933761,-2.10534311907706,0.6101721819153773,0.35862001942825084,-0.8654477183794965,0,0,0,0.4355474547193084,False,True,False,False,False,True,False,True,False,False
R0022,-0.9607099904656812,-0.6944708008349036,-0.23432432040255835,1.2308146613281912,1.3638361411245288,-0.49530106014513103,0,0,0,0.15132048088816683,False,True,False,False,True,False,False,True,False,False
R0023,0.9030214698272819,-0.06758784647662054,0.05352472554736497,-0.8716718774578527,-0.9238971013566556,-0.6803743892623138,0,0,0,-0.35579253820154144,False,True,False,False,False,True,False,True,False,False
R0024,0.6719803797083195,-0.19992980350781356,-0.16236205891507743,1.4569402158429372,1.5487034738502812,0.6151389145579653,0,0,0,0.2175538846674802,False,True,False,False,False,False,True,True,False,False
R0025,-1.114737383878323,1.7643034534814734,0.2694115100098077,-0.7850706012607157,-0.6465961022680271,0.2449922563235999,0,0,1,-0.5761157090471445,False,False,True,False,True,False,False,False,True,False
