rental_id,station_zone,member_type,weather,temperature_c,humidity_pct,wind_speed_mps,distance_km,ride_duration_min,bike_age_months,late_return
R0001,공원,일일권,비,31.5,77.0,5.6,4.11,,28.0,0
R0002,도심,월회원,흐림,23.3,74.6,4.6,1.35,11.0,33.0,0
R0003,공원,일일권,맑음,22.5,56.3,1.0,1.49,11.6,31.0,0
R0004,공원,연회원,흐림,28.6,77.3,2.0,6.73,27.5,21.0,0
R0005,공원,월회원,맑음,13.0,46.3,0.8,3.09,17.5,42.0,0
R0006,주거,월회원,비,28.8,90.0,6.4,4.82,31.8,20.0,1
R0007,도심,월회원,맑음,26.2,62.9,4.2,2.69,15.3,27.0,0
R0008,대학가,일일권,비,13.7,86.1,5.2,3.56,16.7,25.0,1
R0009,주거,연회원,비,13.4,83.1,4.1,3.54,25.9,25.0,0
R0010,대학가,연회원,흐림,22.9,63.3,1.5,2.95,13.2,,0
R0011,주거,월회원,맑음,12.4,42.7,5.3,2.4,18.6,14.0,0
R0012,주거,월회원,흐림,24.8,91.2,1.9,1.63,9.8,20.0,0
R0013,대학가,연회원,맑음,31.9,46.6,3.3,2.46,11.8,27.0,0
R0014,공원,일일권,흐림,27.9,57.0,2.0,3.35,21.9,34.0,0
R0015,공원,연회원,맑음,26.6,50.4,2.3,2.84,,31.0,0
R0016,주거,일일권,맑음,19.5,69.2,3.3,4.88,21.5,16.0,0
R0017,주거,일일권,맑음,22.6,35.7,2.0,4.05,18.2,19.0,0
R0018,주거,연회원,맑음,15.2,56.4,2.3,1.8,11.9,,0
R0019,주거,일일권,맑음,29.5,45.3,2.4,58.81,11.0,28.0,1
R0020,공원,월회원,비,20.5,90.2,6.2,4.41,28.2,23.0,1
R0021,대학가,월회원,맑음,16.7,60.8,0.3,5.08,23.2,13.0,0
R0022,대학가,연회원,맑음,16.6,52.5,2.9,6.37,31.9,17.0,0
R0023,대학가,월회원,맑음,28.7,,3.3,2.0,12.1,15.0,0
R0024,대학가,일일권,맑음,27.2,59.6,3.0,6.84,33.5,29.0,0
R0025,도심,연회원,비,15.6,87.8,3.6,2.18,14.5,25.0,0
R0026,주거,월회원,맑음,22.1,69.2,0.5,3.93,,4.0,0
R0027,도심,일일권,흐림,32.9,135.9,2.5,10.11,50.9,28.0,0
R0028,도심,일일권,흐림,31.4,78.2,3.0,10.81,225.0,20.0,0
R0029,주거,일일권,맑음,12.8,52.6,3.5,3.3,16.6,11.0,0
R0030,도심,월회원,흐림,27.9,64.1,3.2,5.3,24.8,19.0,0
R0031,대학가,일일권,흐림,-19.1,67.6,2.4,3.95,23.6,8.0,0
R0032,공원,일일권,흐림,24.9,74.3,2.5,10.94,48.8,25.0,0
R0033,도심,월회원,맑음,20.0,58.5,2.4,2.57,15.2,20.0,0
R0034,도심,월회원,흐림,35.2,79.0,2.3,2.87,16.6,11.0,0
R0035,공원,연회원,맑음,23.9,68.1,3.2,1.62,12.5,20.0,0
R0036,대학가,연회원,맑음,25.3,51.7,1.7,0.73,4.0,33.0,0
R0037,대학가,월회원,맑음,26.3,42.3,2.9,4.06,20.7,12.0,0
R0038,주거,월회원,맑음,19.0,48.5,4.1,5.95,28.6,6.0,0
R0039,도심,일일권,맑음,20.5,57.7,4.8,2.21,14.8,21.0,0
R0040,공원,월회원,맑음,24.9,118.7,3.5,5.59,24.4,24.0,0
R0041,대학가,일일권,맑음,22.7,70.4,2.9,4.65,23.5,44.0,0
R0042,주거,월회원,맑음,23.7,45.7,1.6,2.49,10.3,,0
R0043,주거,월회원,맑음,19.5,52.9,1.2,9.68,41.6,13.0,0
R0044,주거,월회원,맑음,20.2,65.2,3.5,3.05,17.6,27.0,0
R0045,도심,월회원,흐림,10.4,67.6,2.8,2.34,17.9,5.0,0
R0046,주거,일일권,흐림,16.0,62.9,3.4,3.43,22.2,29.0,0
R0047,주거,일일권,흐림,33.4,71.3,3.4,1.32,10.3,49.0,0
R0048,주거,월회원,맑음,27.6,,5.2,2.11,20.3,,0
R0049,도심,월회원,맑음,19.6,55.8,2.9,4.71,23.5,32.0,0
R0050,도심,연회원,,22.5,54.5,0.9,3.64,20.5,9.0,0
R0051,도심,일일권,맑음,30.0,52.9,4.2,1.17,12.5,16.0,0
R0052,주거,월회원,흐림,19.5,53.8,4.2,3.27,12.0,34.0,0
R0053,대학가,월회원,흐림,26.3,75.2,2.6,2.69,16.1,3.0,0
R0054,도심,연회원,흐림,27.6,,2.1,1.7,8.0,27.0,0
R0055,도심,월회원,맑음,20.3,57.6,4.7,1.91,10.1,34.0,0
R0056,주거,월회원,흐림,16.3,80.0,7.0,5.2,29.0,30.0,0
R0057,공원,월회원,비,4.3,89.0,5.1,2.01,13.0,8.0,0
R0058,대학가,일일권,비,22.5,64.5,3.0,5.7,29.2,14.0,0
R0059,주거,월회원,맑음,20.9,46.3,0.2,2.02,14.1,24.0,0
R0060,주거,월회원,맑음,25.7,38.2,2.1,1.37,9.3,16.0,0
R0061,주거,월회원,맑음,24.0,55.8,1.9,3.14,14.2,17.0,0
R0062,도심,일일권,맑음,28.3,61.9,0.5,7.09,34.2,18.0,0
R0063,대학가,월회원,맑음,34.5,54.0,0.8,1.8,14.9,17.0,0
R0064,대학가,일일권,흐림,29.0,72.4,1.6,1.44,205.7,37.0,0
R0065,도심,월회원,흐림,14.9,68.0,4.3,2.42,22.0,29.0,0
R0066,주거,일일권,맑음,33.1,37.4,1.8,2.63,18.5,17.0,0
R0067,주거,월회원,흐림,15.3,61.8,2.6,1.85,13.0,16.0,0
R0068,공원,일일권,맑음,20.5,59.0,1.7,2.6,15.1,25.0,0
R0069,주거,연회원,맑음,25.1,55.2,0.8,4.34,24.0,23.0,0
R0070,대학가,일일권,흐림,22.3,71.2,2.8,1.73,12.7,29.0,0
R0071,공원,월회원,흐림,18.7,70.6,1.8,3.95,18.7,27.0,0
R0072,도심,월회원,맑음,31.7,43.0,5.1,8.11,40.2,48.0,0
R0073,도심,일일권,맑음,20.2,43.4,1.5,1.49,4.0,23.0,0
R0074,도심,월회원,맑음,36.3,58.3,1.5,1.48,15.1,29.0,0
R0075,공원,연회원,맑음,21.8,,4.2,5.14,24.1,31.0,0
R0076,도심,연회원,비,15.2,76.6,4.9,3.63,20.6,9.0,0
R0077,도심,월회원,맑음,33.3,56.1,2.6,3.22,19.7,18.0,0
R0078,도심,일일권,흐림,29.9,66.5,0.2,4.49,29.9,31.0,0
R0079,도심,일일권,흐림,17.9,74.7,1.0,6.76,32.8,30.0,0
R0080,주거,월회원,흐림,26.0,67.3,2.4,2.19,9.5,8.0,0
R0081,도심,일일권,맑음,23.9,44.1,1.3,2.46,10.9,36.0,0
R0082,대학가,일일권,흐림,24.2,61.9,3.4,2.05,11.5,30.0,0
