batch_id,greenhouse_zone,shift,irrigation_method,worker_experience_years,temperature_c,humidity_pct,soil_moisture_pct,nutrient_ec,fruit_weight_g,sugar_brix,quality_issue
B0001,A동,주간,분무,5.0,28.0,71.6,66.0,2.08,148.0,7.72,0
B0002,D동,주간,점적,1.0,25.9,58.6,72.2,1.53,170.9,7.12,0
B0003,B동,주간,수경,7.0,24.9,64.4,,2.19,199.0,8.07,0
B0004,D동,주간,점적,14.0,22.3,70.5,70.2,2.31,168.2,7.31,0
B0005,B동,주간,점적,2.0,25.0,70.2,78.0,2.03,194.3,6.92,0
B0006,C동,주간,수경,4.0,19.7,56.7,60.9,2.45,190.3,7.5,0
B0007,A동,야간,수경,11.0,23.0,,81.6,2.63,169.3,6.45,1
B0008,A동,주간,점적,12.0,25.9,65.9,9.1,2.23,163.3,6.47,0
B0009,A동,야간,분무,5.0,26.0,68.4,59.3,1.79,183.4,6.86,0
B0010,C동,야간,분무,7.0,22.6,78.1,60.8,2.05,181.8,7.05,0
B0011,A동,야간,점적,12.0,22.1,59.4,58.3,2.29,212.0,7.83,0
B0012,B동,야간,수경,6.0,21.4,67.5,71.4,2.4,191.9,6.53,0
B0013,C동,야간,분무,10.0,21.9,81.2,66.3,1.82,187.7,6.8,0
B0014,B동,야간,점적,6.0,24.7,75.1,54.6,1.96,190.7,7.47,0
B0015,B동,주간,점적,6.0,22.1,70.2,59.7,1.94,185.6,6.71,0
B0016,A동,야간,수경,5.0,22.0,67.1,80.5,1.7,162.1,6.59,1
B0017,C동,주간,점적,10.0,23.2,67.1,55.5,2.08,170.7,7.45,0
B0018,B동,주간,점적,1.0,25.2,68.9,66.6,1.94,204.3,7.06,0
B0019,C동,주간,점적,3.0,22.5,55.7,66.4,2.15,186.2,7.61,0
B0020,D동,야간,,7.0,21.2,60.0,75.4,1.53,171.2,7.64,0
B0021,A동,주간,분무,10.0,24.6,74.0,65.4,1.78,169.4,6.55,0
B0022,C동,주간,분무,5.0,22.5,64.9,61.3,2.11,191.3,6.54,0
B0023,C동,주간,수경,12.0,27.5,68.4,74.8,2.52,146.2,7.41,0
B0024,C동,주간,점적,,23.5,58.1,61.2,2.49,204.8,7.51,0
B0025,D동,주간,수경,6.0,23.5,79.0,,2.19,181.6,6.92,0
B0026,B동,주간,점적,0.0,45.9,69.4,69.5,1.63,175.7,7.23,0
B0027,D동,주간,수경,4.0,25.0,54.6,70.1,2.41,168.2,7.94,0
B0028,A동,주간,점적,7.0,26.9,76.1,51.9,1.9,134.6,7.28,0
B0029,D동,주간,수경,2.0,23.5,73.9,76.7,2.45,155.1,7.77,0
B0030,C동,주간,점적,,23.8,72.6,63.1,1.9,183.2,6.56,0
B0031,B동,주간,점적,5.0,23.3,55.0,58.3,2.38,173.6,7.1,0
B0032,B동,주간,분무,8.0,24.8,79.4,51.0,2.35,163.6,6.57,0
B0033,C동,주간,점적,6.0,25.5,81.4,62.8,1.74,171.4,6.34,0
B0034,A동,주간,분무,9.0,29.1,80.8,63.8,2.3,212.9,6.39,0
B0035,C동,야간,수경,5.0,21.7,63.4,62.6,1.91,163.7,6.74,0
B0036,D동,주간,점적,,24.5,62.7,68.2,2.63,183.0,8.0,0
B0037,A동,야간,분무,13.0,22.5,70.8,54.5,1.38,192.9,7.46,1
B0038,A동,야간,점적,7.0,24.6,62.5,54.9,2.75,178.0,8.15,0
B0039,C동,주간,분무,2.0,26.5,68.2,61.9,2.34,197.6,7.53,0
