ctprvn_cd,objt_id,fclty_cd,data_yr,emd_cd,fclty_nm,telno,rn_adres,sgg_cd,fclty_ty,x,y,adres
,196003,509010,2025,,세븐일레븐원주단구로또점,,강원특별자치도 원주시 단구로 301,,편의점,0,0,강원특별자치도 원주시 단구동 629-6
41,196004,509010,2025,41480102,이마트24면산,,경기도 파주시 면산말길 22,41480,편의점,14113089.99,4546849.533,경기도 파주시 아동동 274-37
42,196005,509010,2025,42190101,GS25태백,,강원특별자치도 태백시 황지로 22,42190,편의점,14359166.9,4461540.427,강원특별자치도 태백시 황지동 94-2
42,196006,509010,2025,42210101,지에스25속초영랑점,,강원특별자치도 속초시 영랑로 29,42210,편의점,14314929.33,4609811.587,강원특별자치도 속초시 영랑동 190-1
41,196007,509010,2025,41220103,코아루마트,,경기도 평택시 산단로52번길 7,41220,편의점,14146028.05,4444171.373,경기도 평택시 모곡동 442-11
41,196008,509010,2025,41310103,씨유구리,,경기도 구리시 경춘로 253,41310,편의점,14153499.43,4523386.712,경기도 구리시 인창동 676-7
42,196009,509010,2025,42170118,씨유동해,,강원특별자치도 동해시 이원길 116,42170,편의점,14371868.71,4506161.621,강원특별자치도 동해시 이도동 410-1
42,196010,509010,2025,42130108,씨유원주원일로점,,강원특별자치도 원주시 원일로 151-1,42130,편의점,14242918.02,4488277.502,강원특별자치도 원주시 일산동 184-86
42,196011,509010,2025,42150121,21세기편의점,,강원특별자치도 강릉시 노가니남길 20,42150,편의점,14349524.09,4543503.294,강원특별자치도 강릉시 노암동 836
42,196012,509010,2025,42170101,24,,강원특별자치도 동해시 평원2길 18-9,42170,편의점,14373235.56,4512683.868,강원특별자치도 동해시 천곡동 815-19
,196013,509010,2025,,이마트24속초대포항,,강원특별자치도 속초시 대포항길 46,,편의점,14316405.28,4604183.753,강원특별자치도 속초시 대포동 960
41,196014,509010,2025,41370101,GS25오산중원,,경기도 오산시 오산로 242,41370,편의점,14145220.64,4459817.806,경기도 오산시 오산동 876-21
,196015,509010,2025,,지에스25지스마트엠티브이점,,경기도 안산시 단원구 시화호수로841번길 4,,편의점,14110841.66,4480445.283,경기도 안산시 단원구 성곡동 851-7
,196016,509010,2025,,다복유통,,경기도 안산시 단원구 엠티브이5로 21,,편의점,14111094.35,4480617.989,경기도 안산시 단원구 성곡동 848-5
41,196017,509010,2025,41480120,씨유파주신촌,,경기도 파주시 지목로 153,41480,편의점,14104871.31,4541348.058,경기도 파주시 신촌동 12-4
41,196018,509010,2025,41450123,세븐일레븐하남초이,,경기도 하남시 초광로 260,41450,편의점,14157092.18,4515085.616,경기도 하남시 초이동 198-13
,196019,509010,2025,,이마트24MTV행운,,경기도 안산시 단원구 엠티브이1로 54,,편의점,14111091.32,4480733.293,경기도 안산시 단원구 성곡동 848-2
,196020,509010,2025,,지에스25송산,,경기도 화성시 수노을중앙로 156,,편의점,14117428.14,4478677.707,경기도 화성시 새솔동 76-12
